Ligand,Binding Affinity,rmsd/ub, rmsd/lb
3U6Jj_1a,-10.3,0.0,0.0
3U6Jj_1a,-9.4,3.377,1.494
3U6Jj_1a,-8.3,15.551,11.227
3U6Jj_1a,-8.1,15.45,11.042
3U6Jj_1a,-7.6,15.168,10.592
3U6Jj_1a,-7.6,16.169,12.962
3U6Jj_1a,-7.5,17.069,13.063
3U6Jj_2a,-9.8,0.0,0.0
3U6Jj_2a,-9.7,1.947,0.196
3U6Jj_2a,-9.2,2.882,1.309
3U6Jj_2a,-8.5,15.798,13.355
3U6Jj_2a,-8.5,15.921,13.512
3U6Jj_2a,-8.4,15.521,11.936
3U6Jj_2a,-8.3,15.41,12.874
3U6Jj_2a,-8.3,15.53,12.12
3U6Jj_2a,-8.1,15.858,12.894
3U6Jj_3a,-10.6,0.0,0.0
3U6Jj_3a,-8.8,7.57,4.131
3U6Jj_3a,-8.4,6.82,3.881
3U6Jj_3a,-7.9,7.236,3.503
3U6Jj_3a,-7.8,15.332,11.16
3U6Jj_3a,-7.8,7.956,4.122
3U6Jj_3a,-7.7,14.692,11.005
3U6Jj_4a,-11.6,0.0,0.0
3U6Jj_4a,-10.9,1.515,1.333
3U6Jj_4a,-10.3,4.814,2.831
3U6Jj_4a,-9.6,7.654,4.466
3U6Jj_4a,-9.4,8.557,3.967
3U6Jj_4a,-9.4,8.2,3.902
3U6Jj_4a,-8.8,8.007,3.828
3U6Jj_4a,-8.7,7.255,3.857
3U6Jj_4a,-8.7,14.903,10.689
3U6Jj_5a,-7.5,0.0,0.0
3U6Jj_5a,-7.2,3.418,1.918
3U6Jj_5a,-7.1,8.593,4.372
3U6Jj_5a,-6.8,8.275,4.497
3U6Jj_5a,-6.6,8.264,3.83
3U6Jj_5a,-6.5,3.376,1.723
3U6Jj_5a,-6.5,18.089,14.712
3U6Jj_5a,-5.4,4.179,2.519
3U6Jj_5a,-5.4,8.576,4.244
3U6Jj_7a,-10.1,0.0,0.0
3U6Jj_7a,-10.1,2.158,1.546
3U6Jj_7a,-9.9,3.783,2.704
3U6Jj_7a,-9.4,10.797,5.238
3U6Jj_7a,-9.2,12.019,6.186
3U6Jj_7a,-7.9,4.82,3.264
3U6Jj_7a,-7.8,11.81,9.23
3U6Jj_7a,-7.8,11.614,6.535
3U6Jj_7a,-7.8,11.353,8.373
3U6Jj_8a,-8.8,0.0,0.0
3U6Jj_8a,-8.7,7.229,3.83
3U6Jj_8a,-8.4,7.53,4.239
3U6Jj_8a,-8.3,6.294,3.431
3U6Jj_8a,-8.2,6.552,3.528
3U6Jj_8a,-8.0,6.769,3.776
3U6Jj_8a,-7.7,6.015,3.686
3U6Jj_8a,-7.6,7.582,3.546
3U6Jj_8a,-7.6,6.158,3.43
3U6Jj_9a,-10.5,0.0,0.0
3U6Jj_9a,-10.2,4.54,2.551
3U6Jj_9a,-8.4,8.231,3.117
3U6Jj_9a,-8.4,15.784,11.775
3U6Jj_9a,-8.3,8.042,3.856
3U6Jj_9a,-7.8,15.783,12.439
3U6Jj_9a,-7.7,13.563,8.223
3U6Jj_9a,-7.6,14.896,12.07
3U6Jj_9a,-7.6,7.646,4.011
3U6Jj_10a,-9.9,0.0,0.0
3U6Jj_10a,-9.2,14.051,7.457
3U6Jj_10a,-9.1,13.386,7.557
3U6Jj_10a,-9.0,13.875,6.567
3U6Jj_10a,-8.9,14.04,7.605
